#{"t_start": 1651423993.679893, "env_id": null}
r,l,t
748.749075,1,4.623729
861.186389,1,8.605304
857.930061,1,12.757122
806.166986,1,16.595175
707.631579,1,19.811649
743.293806,1,23.471614
731.907476,1,26.870893
798.023447,1,30.632045
813.986152,1,34.475398
736.538612,1,37.795953
807.924596,1,41.537867
874.197713,1,45.542531
800.055556,1,49.402543
865.287434,1,53.323695
778.572646,1,57.2308
844.958551,1,60.904802
854.807881,1,64.871315
758.016538,1,68.215388
798.252598,1,71.960754
767.873593,1,75.841003
768.226897,1,79.59457
798.02598,1,83.188797
798.997403,1,86.973551
750.860398,1,90.590456
921.432744,1,94.811522
789.636902,1,98.408939
820.511811,1,102.411664
846.479045,1,106.194231
731.702094,1,109.863644
872.886673,1,113.858306
985.51652,1,119.242469
779.158142,1,123.056524
805.576516,1,126.704912
841.296757,1,130.445624
757.747759,1,134.065717
782.150473,1,137.60561
829.700629,1,141.347583
795.374334,1,145.153889
790.57736,1,148.854178
835.184943,1,152.557598
761.895318,1,156.206556
794.401798,1,159.934875
741.176684,1,163.352075
819.434195,1,167.467579
991.931595,1,171.906268
771.54295,1,175.801985
790.166467,1,179.550711
835.677837,1,183.510989
866.588354,1,187.340459
780.902307,1,191.057496
796.537284,1,194.889448
843.524262,1,198.86762
1022.921498,1,204.441938
876.379041,1,208.593453
772.787366,1,212.267524
892.847625,1,216.328067
899.005542,1,220.715511
773.133094,1,224.360654
881.180589,1,228.40055
862.750131,1,232.51697
718.653991,1,235.848875
819.20996,1,239.556028
735.063549,1,242.921342
742.007854,1,246.415064
819.899093,1,249.988285
879.256955,1,253.829386
846.489793,1,257.705865
759.256599,1,261.167881
818.247998,1,265.039583
743.920726,1,268.37069
832.707582,1,272.297008
916.393929,1,276.635837
756.293181,1,280.253642
844.397047,1,284.237762
810.326265,1,288.023066
786.740631,1,291.440723
821.488687,1,295.340486
781.892001,1,299.143694
800.749167,1,302.952491
857.87177,1,306.926426
839.867024,1,310.947485
810.660685,1,314.553736
799.176438,1,318.299442
795.156,1,322.21895
885.126032,1,326.735882
838.433278,1,330.32756
809.304415,1,334.115301
801.346341,1,337.994282
841.408317,1,341.811779
695.676015,1,345.113235
868.095079,1,349.027859
752.431962,1,352.746177
790.173563,1,356.548682
863.23755,1,360.515582
859.92436,1,364.488686
819.738396,1,368.253775
824.086174,1,372.075843
745.554009,1,375.622936
804.241097,1,379.591969
735.86817,1,383.137423
833.743264,1,386.684165
750.175643,1,390.061888
786.879504,1,393.687333
810.560479,1,397.38535
862.281941,1,401.166256
974.732269,1,405.965685
822.072233,1,409.634917
775.015672,1,413.089567
801.685637,1,416.658458
825.227641,1,420.291327
798.803641,1,423.847714
763.343642,1,427.253619
796.183219,1,430.791531
937.082248,1,434.892351
794.180268,1,438.237259
831.778221,1,441.811465
863.654629,1,445.630614
809.784644,1,449.453023
848.740989,1,453.747593
818.205567,1,457.26172
784.585826,1,460.753488
807.889485,1,464.425825
795.694443,1,467.725893
782.110932,1,471.139207
851.547893,1,475.640995
995.33177,1,480.231722
771.986909,1,483.766742
883.4801,1,487.42308
799.100954,1,490.958503
803.182245,1,494.400767
801.494266,1,498.040131
794.744328,1,501.434901
754.096921,1,504.811832
896.198333,1,508.574648
742.740571,1,512.014477
800.294505,1,515.510929
777.43987,1,518.924229
791.200511,1,522.4296
820.828859,1,526.014408
801.068245,1,529.608525
817.902976,1,533.300109
841.178086,1,537.076729
874.123852,1,541.028522
810.606711,1,544.447525
739.5379,1,547.8522
873.433297,1,551.6552
831.835634,1,555.137529
806.706139,1,558.772207
860.876214,1,562.585768
873.388458,1,566.265143
833.48819,1,569.953579
802.33024,1,573.618033
764.018752,1,577.170367
849.087913,1,580.869569
809.654061,1,584.271491
782.352727,1,587.644295
822.727046,1,591.174059
817.024863,1,595.175486
762.223274,1,599.053917
759.185853,1,602.745018
771.550315,1,606.214144
785.080654,1,609.883032
848.544308,1,613.72419
841.126655,1,617.529688
828.483602,1,621.069397
757.562169,1,624.645379
795.869147,1,628.071321
819.608176,1,631.753896
751.028113,1,634.982546
820.271253,1,638.529263
794.192818,1,641.876689
843.797772,1,645.76998
766.608442,1,649.315272
741.426728,1,652.739532
782.03041,1,656.203
856.327662,1,659.975806
897.219164,1,663.766251
716.410196,1,667.110655
782.421412,1,670.607957
830.457129,1,674.098385
791.078204,1,677.809822
858.013654,1,681.528047
831.569156,1,685.21596
767.257205,1,688.647785
799.540096,1,692.195197
836.358697,1,695.616864
816.285466,1,699.029064
815.37599,1,702.634027
719.786267,1,705.85144
934.407381,1,709.891742
880.734788,1,713.687232
792.948094,1,717.257854
804.794736,1,720.864476
846.918645,1,724.536758
685.618097,1,727.731858
786.512841,1,730.880886
831.691839,1,734.533348
914.493597,1,738.45805
1041.711709,1,743.446206
766.509786,1,746.944049
807.498886,1,750.547256
827.939725,1,754.199847
771.920705,1,757.656654
701.574283,1,760.847091
851.335717,1,764.468995
750.236006,1,767.946825
948.643308,1,772.03417
804.580659,1,775.762163
848.787214,1,779.414367
796.782329,1,782.971249
859.602186,1,786.658357
773.575272,1,790.02752
783.083763,1,793.640266
816.729678,1,797.21626
788.42254,1,800.593372
776.441467,1,804.123704
827.32271,1,807.849236
770.481414,1,811.347057
828.501348,1,814.863255
743.320839,1,818.281001
798.525395,1,821.716467
813.081128,1,825.548679
741.39145,1,829.13393
779.564963,1,832.576701
852.893208,1,836.365164
769.82249,1,840.007938
763.846325,1,843.680622
871.03719,1,847.522561
1007.800538,1,852.711529
905.083436,1,856.758023
754.737489,1,859.969753
868.43093,1,863.946001
785.053299,1,867.660127
892.214183,1,871.817899
768.453122,1,875.635211
802.279351,1,879.313554
799.633536,1,882.89169
808.882625,1,886.769343
833.600513,1,890.827138
847.855719,1,894.778532
849.772201,1,898.856562
792.968416,1,902.65065
774.553482,1,906.463476
766.28488,1,910.086045
815.172391,1,913.926666
759.170795,1,917.777565
865.169707,1,921.612367
772.171787,1,925.18633
727.070886,1,928.641457
754.681052,1,931.939304
816.534449,1,935.506479
727.594252,1,938.721653
837.180234,1,942.336725
769.504765,1,945.913597
849.715476,1,949.598458
835.523529,1,953.206844
764.813835,1,956.583347
744.360592,1,960.13361
768.955187,1,963.590588
783.150241,1,967.170072
823.556775,1,970.947768
837.733303,1,974.697282
857.997253,1,978.321841
820.152136,1,981.919806
709.556988,1,985.149613
896.629577,1,989.409657
887.01315,1,993.240427
811.644825,1,996.993335
924.796989,1,1000.892683
826.214434,1,1004.539358
884.141975,1,1008.363744
786.796219,1,1011.79045
775.982523,1,1015.214887
826.444845,1,1018.831116
800.595708,1,1022.327267
842.611975,1,1025.731292
779.242218,1,1029.417586
819.4192,1,1033.160172
768.66845,1,1036.472426
761.553813,1,1039.834017
927.381814,1,1043.833478
774.48468,1,1047.357991
821.646594,1,1051.003584
822.453884,1,1054.591611
850.337781,1,1058.159099
742.887328,1,1061.660988
761.416256,1,1065.093097
751.047385,1,1068.512822
848.125606,1,1072.331217
848.241224,1,1076.144061
788.163084,1,1079.563685
757.215956,1,1083.154433
820.351242,1,1086.834792
710.76879,1,1089.952945
826.312711,1,1093.441944
784.291539,1,1097.05892
1000.613904,1,1101.750659
901.713286,1,1105.489438
790.197346,1,1108.987333
768.269268,1,1112.577103
824.559223,1,1116.266722
769.610551,1,1119.857867
770.367695,1,1123.18819
843.84771,1,1126.929945
798.367831,1,1130.515576
740.185978,1,1133.904656
797.157132,1,1137.400793
841.025025,1,1141.09632
854.005842,1,1144.73947
835.092461,1,1148.409553
830.3282,1,1151.98434
706.198978,1,1155.142067
795.128103,1,1158.71971
823.176662,1,1162.280456
805.368631,1,1165.752246
798.493572,1,1169.136131
1093.326759,1,1174.061605
794.520301,1,1177.536246
764.195885,1,1180.856136
806.598884,1,1184.391301
826.882652,1,1188.033287
950.583149,1,1192.190202
825.219177,1,1195.729942
871.575602,1,1199.28803
816.914638,1,1202.807098
810.170317,1,1206.326952
799.460854,1,1209.727782
799.047748,1,1213.163328
825.303449,1,1216.714256
829.203241,1,1220.456962
846.709197,1,1224.069261
849.167319,1,1227.723271
820.559683,1,1231.100357
779.554784,1,1234.663089
756.682718,1,1238.006375
841.056578,1,1241.524157
806.630038,1,1245.03331
746.335947,1,1248.427137
812.736167,1,1251.839257
763.59392,1,1255.311362
805.324488,1,1258.886164
833.432013,1,1262.406678
791.12559,1,1265.641813
806.779546,1,1269.345227
820.816799,1,1272.861639
786.056597,1,1276.555292
831.133938,1,1280.214122
797.156483,1,1283.586811
877.993522,1,1287.283658
742.317509,1,1290.794418
755.368669,1,1294.216364
773.046947,1,1297.695829
754.039655,1,1301.142599
802.692897,1,1304.837655
818.65999,1,1308.386148
815.773836,1,1311.950973
760.342656,1,1315.221535
737.352598,1,1318.561173
850.153032,1,1322.240772
748.587221,1,1325.561706
893.946751,1,1329.369884
841.459494,1,1333.03474
844.521373,1,1336.778434
799.925431,1,1340.239331
828.639636,1,1344.015371
913.181547,1,1347.879811
798.599199,1,1351.300591
831.736814,1,1354.887805
782.915925,1,1358.253048
860.112016,1,1361.881208
798.209783,1,1365.43733
747.909006,1,1368.751208
829.528109,1,1372.264835
869.268973,1,1376.022523
762.512798,1,1379.43778
793.402468,1,1383.026514
801.283091,1,1386.408711
861.410462,1,1390.258821
785.436843,1,1393.848094
778.484223,1,1397.418311
771.124626,1,1400.997906
808.633767,1,1404.571107
766.952897,1,1408.200521
1005.148673,1,1412.855266
756.948158,1,1416.223366
827.753414,1,1419.932875
779.457845,1,1423.197159
841.635966,1,1426.710964
835.761112,1,1430.487631
709.518291,1,1433.846734
825.167315,1,1437.417411
829.811447,1,1441.011587
735.754841,1,1444.304519
868.955233,1,1448.014826
768.477194,1,1451.572205
859.533756,1,1455.373543
717.354592,1,1458.584488
724.58363,1,1461.818552
782.576649,1,1465.333434
843.175634,1,1468.803679
849.950412,1,1472.354399
826.149438,1,1476.026915
756.723305,1,1479.338194
818.416658,1,1482.904807
824.147914,1,1486.433396
796.479407,1,1490.114096
831.550736,1,1493.751724
781.471061,1,1497.165247
824.872105,1,1500.772706
853.781829,1,1504.409479
775.539426,1,1507.765733
867.80791,1,1511.457653
754.744504,1,1514.878029
881.464069,1,1518.693739
866.470784,1,1522.418336
835.323226,1,1525.931982
887.387537,1,1529.668344
800.550575,1,1533.185095
788.861148,1,1536.741764
782.996645,1,1540.323875
923.206092,1,1544.237268
920.821327,1,1547.949628
733.570295,1,1551.420033
871.048363,1,1555.217109
867.979251,1,1559.00309
747.175114,1,1562.336357
869.129973,1,1566.046623
802.343442,1,1569.527525
781.540052,1,1572.882869
787.698489,1,1576.251575
816.4608,1,1579.757187
820.758535,1,1583.311265
842.021512,1,1586.990682
836.659066,1,1590.596538
775.766042,1,1594.173423
768.36219,1,1597.577152
960.248266,1,1602.241796
838.941348,1,1605.929485
812.708952,1,1609.423598
853.848056,1,1613.035733
878.04765,1,1616.858107
773.787054,1,1620.343912
752.523979,1,1623.680775
830.0755,1,1627.221581
728.917579,1,1630.41541
823.403921,1,1633.969205
847.486189,1,1637.706858
799.843327,1,1641.450308
830.449134,1,1645.167277
751.313255,1,1648.613032
784.460249,1,1652.194938
767.445644,1,1655.39349
769.896091,1,1658.825029
762.525828,1,1662.311009
804.11907,1,1665.920332
816.403941,1,1669.706316
863.252905,1,1673.410086
810.235354,1,1677.078982
765.172953,1,1680.57834
784.018711,1,1684.001696
812.514155,1,1687.505431
956.371986,1,1691.634088
777.569665,1,1695.262858
834.708541,1,1698.779077
816.48454,1,1702.307503
760.561638,1,1705.542696
845.883848,1,1709.035281
767.731965,1,1712.325966
831.545407,1,1715.903912
822.849003,1,1719.840255
814.232415,1,1723.464832
819.390008,1,1726.753558
811.136594,1,1730.380729
769.447163,1,1733.755707
856.10799,1,1737.540529
733.851314,1,1740.742952
803.794437,1,1744.290225
810.873941,1,1747.96164
781.234421,1,1751.50019
825.42466,1,1755.111271
733.742627,1,1758.39108
877.233966,1,1762.134968
789.75943,1,1765.535699
845.59837,1,1768.936078
803.32341,1,1772.676542
756.399385,1,1776.196681
840.660483,1,1779.738378
798.007415,1,1783.228597
794.070448,1,1786.779483
802.968132,1,1790.229731
807.032379,1,1793.713926
678.079935,1,1796.855608
753.704478,1,1800.35061
812.693412,1,1803.913474
806.369692,1,1807.197856
820.700932,1,1810.789955
1028.929282,1,1815.415242
765.043985,1,1818.638659
822.826919,1,1822.01917
865.930067,1,1826.014591
834.060302,1,1829.89488
780.767978,1,1833.423312
823.481394,1,1837.201056
1489.849615,1,1846.461542
1129.259594,1,1852.531188
720.108554,1,1855.91065
843.469844,1,1860.043792
778.900972,1,1863.699372
875.327341,1,1867.642028
767.588857,1,1870.944123
880.43396,1,1874.956533
823.536834,1,1878.706068
814.561773,1,1882.238705
760.36164,1,1885.667188
797.958059,1,1889.178752
773.774692,1,1892.988601
822.79769,1,1896.901107
796.055641,1,1900.620196
819.148813,1,1904.568158
800.951001,1,1908.372807
833.634599,1,1912.414866
810.873561,1,1916.052154
837.2638,1,1919.883075
864.888859,1,1923.968652
997.323491,1,1928.890222
798.797315,1,1932.316175
857.310234,1,1936.409134
815.683544,1,1940.227104
821.6208,1,1943.919674
770.517637,1,1947.518121
798.030719,1,1951.512563
846.144244,1,1955.148344
794.709383,1,1959.040922
807.605861,1,1962.72962
767.798268,1,1966.103167
823.467014,1,1970.001461
814.260172,1,1973.781847
891.505919,1,1977.94938
858.656949,1,1981.874902
807.34807,1,1985.556813
810.342317,1,1989.359474
795.809016,1,1992.821676
983.288235,1,1997.505844
842.667402,1,2001.314
882.216245,1,2005.490683
773.243789,1,2008.975542
827.907461,1,2012.547751
778.909075,1,2016.193331
808.862546,1,2019.905539
777.092698,1,2023.512959
836.42772,1,2027.324563
742.047099,1,2030.99879
812.604095,1,2034.751432
861.02384,1,2038.530371
810.455894,1,2042.129497
1039.979588,1,2047.634263
807.173406,1,2051.39006
768.304865,1,2054.760429
729.909672,1,2058.008639
790.801312,1,2061.74083
845.078629,1,2065.620001
791.436631,1,2069.381112
784.411822,1,2073.276607
816.862586,1,2077.167631
816.700572,1,2080.974101
950.536928,1,2085.863529
879.747442,1,2089.84777
1084.001511,1,2095.777676
747.121662,1,2099.123345
868.966684,1,2103.097916
735.525949,1,2106.473099
804.439662,1,2110.036004
847.465474,1,2113.94091
859.749215,1,2117.686276
843.843136,1,2121.539762
723.620474,1,2124.744261
872.41189,1,2128.55997
845.803477,1,2132.602199
772.852683,1,2136.401144
769.98873,1,2139.92538
852.47608,1,2144.025457
760.822544,1,2147.730539
845.84115,1,2151.762463
876.63036,1,2155.826473
803.609945,1,2159.746526
840.984681,1,2163.52063
800.790843,1,2166.975152
839.683737,1,2170.829256
808.058356,1,2174.566573
847.062171,1,2178.380495
875.302493,1,2182.471676
847.170882,1,2186.313834
761.786277,1,2189.898626
758.14231,1,2193.588447
802.781572,1,2197.506212
827.272193,1,2201.239355
784.238061,1,2204.611515
807.182012,1,2208.571196
840.264036,1,2212.308578
893.902954,1,2217.033737
804.417798,1,2220.92128
903.402476,1,2225.004353
1170.629353,1,2231.490436
881.883445,1,2235.792845
976.720018,1,2240.65853
811.202925,1,2244.804894
823.658739,1,2248.777188
882.310392,1,2253.053042
855.788174,1,2257.212688
797.04444,1,2260.873227
724.043645,1,2264.549158
775.326654,1,2268.078543
978.350572,1,2273.460337
893.465404,1,2277.639014
864.122232,1,2281.600386
758.406823,1,2285.252727
808.47415,1,2288.850511
805.782172,1,2292.406293
950.097596,1,2297.152282
764.437751,1,2300.460812
829.995011,1,2304.191955
1139.494381,1,2309.660166
795.606969,1,2313.036873
809.115873,1,2316.70314
799.918584,1,2320.224128
844.445952,1,2323.729258
900.748761,1,2327.551191
817.530519,1,2331.19497
821.883972,1,2334.810414
827.356937,1,2338.168315
812.061961,1,2341.764172
817.606865,1,2345.237553
782.894619,1,2348.817953
752.687149,1,2352.269229
1105.464245,1,2357.488463
925.176335,1,2361.347712
766.104724,1,2364.692484
810.182541,1,2368.495979
905.689084,1,2372.973704
731.203094,1,2376.27716
1096.998596,1,2381.932464
842.915943,1,2385.825666
800.95698,1,2389.692761
700.956184,1,2392.900167
784.42144,1,2396.600901
784.11341,1,2400.299691
1044.608955,1,2405.635414
906.346297,1,2409.918775
1021.575255,1,2415.053961
896.000215,1,2419.239419
804.81488,1,2423.015656
840.824015,1,2426.858399
1133.217392,1,2432.972134
865.949386,1,2437.190082
823.39776,1,2441.011321
794.242221,1,2444.788218
1032.189284,1,2450.143357
887.245719,1,2454.780622
817.023884,1,2458.312402
803.092759,1,2462.185619
865.291853,1,2466.333918
847.364623,1,2470.144561
1118.618277,1,2476.187153
893.782764,1,2480.353412
895.826363,1,2484.441659
858.693446,1,2488.640966
876.74663,1,2492.709697
810.824624,1,2496.228868
907.27827,1,2500.337542
736.575307,1,2503.955754
966.537493,1,2509.747912
797.841815,1,2513.524992
808.224097,1,2517.262358
920.50149,1,2522.00325
930.970182,1,2526.456754
848.703702,1,2530.107193
826.238645,1,2533.730142
775.533292,1,2537.391376
830.76565,1,2541.403765
844.753713,1,2545.263613
792.60725,1,2549.162908
749.250644,1,2552.826408
802.825894,1,2556.620231
767.845567,1,2560.044169
1062.300572,1,2565.882076
814.392167,1,2569.677436
770.335447,1,2573.656323
877.307093,1,2577.83274
861.606958,1,2581.957367
789.379788,1,2585.660294
857.165002,1,2589.72817
1092.456917,1,2595.350316
829.059228,1,2599.310957
818.965734,1,2603.087213
806.637267,1,2606.942079
886.389274,1,2611.454667
833.190634,1,2615.100074
783.34527,1,2618.725174
852.319436,1,2622.661893
793.147298,1,2626.244524
1173.091854,1,2631.756561
845.872601,1,2635.554609
837.755691,1,2639.14816
878.007366,1,2643.217411
742.297191,1,2646.669319
826.503362,1,2650.634851
827.920358,1,2654.177083
869.087244,1,2658.241015
978.675747,1,2663.330483
752.541352,1,2666.722728
803.875813,1,2670.563658
1004.227151,1,2675.959723
768.817716,1,2679.367211
809.804553,1,2683.14265
818.305959,1,2687.080198
841.644,1,2691.192515
869.367088,1,2695.117738
799.043796,1,2698.984174
851.593257,1,2702.770631
748.446304,1,2706.199797
881.810438,1,2710.421476
863.586586,1,2714.557522
782.26881,1,2718.53254
1128.042263,1,2725.409303
802.206562,1,2729.204198
801.446235,1,2732.799971
831.746754,1,2736.828497
747.051658,1,2740.564981
808.394419,1,2744.275215
1129.173862,1,2750.187199
848.044133,1,2754.16137
929.589949,1,2758.722637
842.907935,1,2762.417216
821.086478,1,2766.307805
736.504117,1,2769.934823
837.788187,1,2773.775144
831.383293,1,2777.600255
1184.215604,1,2784.239778
804.142676,1,2788.232654
911.457558,1,2792.311273
944.929553,1,2796.733694
827.713053,1,2800.570804
800.264737,1,2804.543765
840.844815,1,2808.49745
914.859707,1,2812.792661
835.704979,1,2816.904474
771.070002,1,2820.674002
823.034036,1,2824.571459
967.971469,1,2831.320438
839.180563,1,2835.429642
760.578954,1,2839.059193
1139.215529,1,2845.027516
846.657935,1,2848.823496
831.972222,1,2852.572145
875.07389,1,2856.679414
889.020083,1,2860.60781
843.614771,1,2864.376158
881.571321,1,2868.769764
1060.639656,1,2874.367653
837.518285,1,2878.544578
902.725245,1,2882.909046
881.263937,1,2887.245458
817.096489,1,2891.041779
1072.890236,1,2896.297498
812.827296,1,2899.911109
850.144653,1,2903.727832
1022.516929,1,2909.199131
881.520619,1,2913.334194
1043.248397,1,2918.44013
815.071932,1,2922.718631
960.061637,1,2929.839707
1007.175887,1,2935.728193
909.031837,1,2940.417362
1216.689645,1,2946.593048
